NP_000509.1,XEF57200.1,86.471,170,0,1,1,147,1,170,1.54e-97,288,86.47
NP_000509.1,AAA35597.1,93.197,147,10,0,1,147,1,147,1.92e-93,277,93.20
NP_000509.1,NP_001257812.1,89.796,147,15,0,1,147,1,147,1.32e-92,275,93.88
NP_000509.1,NP_001291814.1,89.796,147,15,0,1,147,1,147,6.57e-92,273,93.88
NP_000509.1,NP_001291812.1,89.796,147,15,0,1,147,1,147,7.33e-92,273,93.88
NP_000509.1,KAM8815943.1,89.116,147,16,0,1,147,1,147,2.37e-91,271,92.52
NP_000509.1,EFB18430.1,90.476,147,14,0,1,147,112,258,3.12e-91,275,94.56
NP_000509.1,EFB18430.1,73.333,105,28,0,1,105,1,105,1.22e-49,170,86.67
NP_000509.1,SAI82279.1,88.435,147,17,0,1,147,47,193,7.84e-91,272,92.52
NP_000509.1,XP_011830554.1,89.796,147,15,0,1,147,1,147,8.11e-91,270,93.88
NP_000509.1,WP_221411036.1,87.755,147,18,0,1,147,16,162,3.63e-90,269,92.52
NP_000509.1,XP_044775197.1,86.395,147,20,0,1,147,1,147,1.30e-89,267,92.52
NP_000509.1,GAB9666058.1,86.184,152,16,1,1,147,1,152,1.24e-88,265,90.13
NP_000509.1,ELK09417.1,89.116,147,16,0,1,147,217,363,1.86e-88,272,93.20
NP_000509.1,ELK09417.1,87.970,133,16,0,1,133,1,133,4.63e-78,245,92.48
NP_000509.1,P11752.1,86.301,146,20,0,2,147,1,146,2.06e-88,264,92.47
NP_000509.1,AAA35952.1,100.000,128,0,0,1,128,1,128,9.46e-88,263,100.00
NP_000509.1,XP_076969900.1,86.395,147,20,0,1,147,1,147,2.49e-87,261,91.16
NP_000509.1,KAN3658820.1,85.714,147,21,0,1,147,58,204,4.42e-87,263,91.16
NP_000509.1,765952B,84.932,146,22,0,2,147,1,146,1.05e-86,259,95.21
NP_000509.1,XP_004618299.1,84.354,147,23,0,1,147,1,147,1.46e-86,259,90.48
NP_000509.1,XP_004642055.1,83.673,147,24,0,1,147,1,147,4.18e-86,258,91.16


