NM_000546.6,NM_000546.6,100.000,2512,0,0,1,2512,1,2512,0.0,4639
NM_000546.6,HG975427.1,100.000,2512,0,0,1,2512,56,2567,0.0,4639
NM_000546.6,NM_001276761.3,99.881,2512,0,1,1,2512,1,2509,0.0,4619
NM_000546.6,AF307851.1,99.880,2500,2,1,13,2512,6,2504,0.0,4599
NM_000546.6,BC003596.1,99.880,2490,2,1,23,2512,1,2489,0.0,4580
NM_000546.6,XM_001172077.6,99.364,2515,13,1,1,2512,23,2537,0.0,4553
NM_000546.6,XM_004058511.5,99.363,2512,11,1,1,2512,23,2529,0.0,4545
NM_000546.6,XM_003810066.5,99.204,2512,12,1,1,2512,52,2555,0.0,4521
NM_000546.6,DQ191317.1,99.088,2522,10,5,1,2512,49,2567,0.0,4518
NM_000546.6,FJ207420.1,99.085,2515,11,4,8,2512,1,2513,0.0,4506
NM_000546.6,DQ286964.1,99.085,2515,10,5,8,2512,1,2512,0.0,4505
NM_000546.6,AB082923.1,99.713,2436,3,2,77,2512,1,2432,0.0,4457
NM_000546.6,NM_001407262.1,100.000,2399,0,0,114,2512,217,2615,0.0,4431
NM_000546.6,NM_001407262.1,100.000,114,0,0,1,114,1,114,5.16e-49,211
NM_000546.6,NM_001407266.1,100.000,2399,0,0,114,2512,127,2525,0.0,4431
NM_000546.6,NM_001407265.1,100.000,2398,0,0,115,2512,125,2522,0.0,4429
NM_000546.6,XM_063700589.1,99.333,2399,11,1,114,2512,220,2613,0.0,4337
NM_000546.6,XM_002826974.6,97.771,2512,54,1,1,2512,17,2526,0.0,4327
NM_000546.6,XM_054457336.2,97.651,2512,57,1,1,2512,27,2536,0.0,4311
NM_000546.6,NM_001126118.2,100.000,2296,0,0,217,2512,334,2629,0.0,4241
NM_000546.6,NM_001126118.2,100.000,216,0,0,1,216,1,216,1.02e-105,399
NM_000546.6,JN900492.1,100.000,2296,0,0,217,2512,383,2678,0.0,4241
NM_000546.6,JN900492.1,100.000,216,0,0,1,216,50,265,1.03e-105,399
NM_000546.6,JN214348.1,99.826,2296,2,2,217,2512,121,2414,0.0,4217
NM_000546.6,JN214348.1,100.000,102,0,0,13,114,19,120,2.42e-42,189
NM_000546.6,XM_016931470.3,99.304,2299,13,1,217,2512,336,2634,0.0,4154
NM_000546.6,XM_016931470.3,100.000,216,0,0,1,216,1,216,1.03e-105,399
NM_000546.6,XM_030800485.1,96.429,2520,68,11,1,2512,62,2567,0.0,4135
NM_000546.6,XM_055256596.2,96.380,2514,75,9,1,2512,145,2644,0.0,4124
NM_000546.6,XM_057300362.2,99.129,2296,12,1,217,2512,336,2623,0.0,4122
NM_000546.6,XM_057300362.2,100.000,216,0,0,1,216,1,216,1.03e-105,399
NM_000546.6,XM_032139337.3,96.307,2518,74,11,1,2512,9,2513,0.0,4117
NM_000546.6,XM_023193314.2,95.348,2515,101,5,1,2512,59,2560,0.0,3982
NM_000546.6,XM_005582787.4,95.346,2514,99,10,4,2512,1,2501,0.0,3978
NM_000546.6,XM_012052423.1,95.272,2517,100,9,1,2512,54,2556,0.0,3971
NM_000546.6,XM_003912272.5,95.232,2517,100,9,1,2512,59,2560,0.0,3965


