NM_000518.4,NM_000518.5,100.000,626,0,0,1,626,1,626,0.0,1157
NM_000518.4,XM_508242.5,99.840,626,1,0,1,626,12,637,0.0,1151
NM_000518.4,XM_003819029.5,99.681,626,2,0,1,626,16,641,0.0,1146
NM_000518.4,BC007075.1,99.521,626,3,0,1,626,2,627,0.0,1140
NM_000518.4,V00497.1,99.521,626,3,0,1,626,1,626,0.0,1140
NM_000518.4,AY509193.1,99.360,625,4,0,1,625,1,625,0.0,1133
NM_000518.4,XM_019036164.3,99.358,623,4,0,1,623,11,633,0.0,1129
NM_000518.4,XM_054440830.2,98.403,626,10,0,1,626,12,637,0.0,1101
NM_000518.4,XM_002822127.6,98.403,626,10,0,1,626,31,656,0.0,1101
NM_000518.4,XM_055282707.1,98.243,626,11,0,1,626,11,636,0.0,1096
NM_000518.4,XM_004090649.3,97.927,627,11,2,1,626,126,751,0.0,1085
NM_000518.4,XM_032166808.2,97.604,626,15,0,1,626,11,636,0.0,1074
NM_000518.4,EU694432.1,99.322,590,1,1,1,590,1,587,0.0,1064
NM_000518.4,AF181989.1,99.827,579,1,0,18,596,1,579,0.0,1064
NM_000518.4,AF349114.1,99.484,581,3,0,16,596,1,581,0.0,1057
NM_000518.4,XM_033207068.1,96.497,628,19,3,1,626,121,747,0.0,1035
NM_000518.4,XM_011963601.1,96.491,627,20,2,1,626,126,751,0.0,1035
NM_000518.4,XM_010363344.2,96.338,628,20,3,1,626,121,747,0.0,1029
NM_000518.4,XM_017861621.1,96.338,628,20,3,1,626,121,747,0.0,1029
NM_000518.4,AF117710.1,99.644,562,2,0,21,582,1,562,0.0,1027


